id,titulo,texto,categoria,fuente
1,Introducción a Spring Boot,"En este contenido se presentan los conceptos básicos para la creación de APIs REST utilizando Java y Spring Boot, incluyendo el manejo de controladores y servicios.",Backend,equipo
2,Autenticación con JWT en Node.js,Se explica cómo implementar autenticación basada en tokens JWT en una aplicación backend construida con Node.js y Express.,Backend,equipo
3,Microservicios con Spring Cloud,"Este artículo describe la arquitectura de microservicios utilizando Spring Cloud, Eureka para el descubrimiento de servicios y Feign para la comunicación entre ellos.",Backend,equipo
4,Django REST Framework para APIs,"Se muestra cómo construir una API REST en Python utilizando Django REST Framework, incluyendo serializadores y vistas basadas en clases.",Backend,equipo
5,Manejo de excepciones en APIs REST,Este tutorial cubre las mejores prácticas para el manejo centralizado de excepciones en una API REST desarrollada con Java y Spring.,Backend,equipo
6,Programación asíncrona en Node.js,"Se explican los conceptos de callbacks, promesas y async/await para el manejo de operaciones asíncronas en Node.js.",Backend,equipo
7,Diseño de endpoints RESTful,"Este contenido aborda las convenciones para diseñar endpoints RESTful, incluyendo el uso correcto de verbos HTTP y códigos de estado.",Backend,equipo
8,Introducción a GraphQL,"Se presenta una introducción a GraphQL como alternativa a REST para el desarrollo de APIs, mostrando ejemplos de queries y mutations.",Backend,equipo
9,Validación de datos en APIs con Java,Este tutorial muestra cómo utilizar Bean Validation en Spring Boot para validar los datos de entrada en los endpoints de una API.,Backend,equipo
10,Arquitectura hexagonal en backend,Se explica el patrón de arquitectura hexagonal (puertos y adaptadores) aplicado al desarrollo de aplicaciones backend en Java.,Backend,equipo
11,Colas de mensajes con RabbitMQ,Este contenido describe cómo integrar RabbitMQ en una aplicación backend para el procesamiento asíncrono de tareas.,Backend,equipo
12,Autorización basada en roles,Se cubre la implementación de control de acceso basado en roles (RBAC) utilizando Spring Security en una API Java.,Backend,equipo
13,Testing unitario de servicios backend,Este tutorial enseña a escribir pruebas unitarias para servicios backend utilizando JUnit y Mockito en Java.,Backend,equipo
14,Introducción a FastAPI,Se presenta FastAPI como framework de Python para construir APIs REST de alto rendimiento con validación automática de datos.,Backend,equipo
15,Patrones de diseño en backend,"Este artículo repasa patrones de diseño comunes como Repository, Factory y Singleton aplicados al desarrollo backend.",Backend,equipo
16,Introducción a gRPC,Se presenta gRPC como protocolo de comunicación de alto rendimiento basado en Protocol Buffers para servicios backend.,Backend,equipo
17,Spring Data JPA,Este contenido explica cómo utilizar Spring Data JPA para simplificar el acceso a bases de datos relacionales desde Java.,Backend,equipo
18,WebSockets para comunicación en tiempo real,Se muestra cómo implementar comunicación bidireccional en tiempo real utilizando WebSockets en una aplicación backend.,Backend,equipo
19,Caché con Redis en backend,Este tutorial cubre cómo integrar Redis como capa de caché para mejorar el rendimiento de una API.,Backend,equipo
20,API Gateway y su función,Se explica el rol de un API Gateway como punto de entrada único para gestionar múltiples microservicios.,Backend,equipo
21,Rate limiting en APIs,Este contenido presenta técnicas de limitación de tasa para proteger APIs de abuso y sobrecarga.,Backend,equipo
