id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
1,Seguridad en entornos cloud multi-cuenta,Guía de referencia rápida: Seguridad en entornos cloud multi-cuenta. Consulta práctica sobre autoescalado y CloudTrail para resolver problemas cotidianos en Cloud. Incluye snippets de código y comandos útiles.,Cloud,"autoescalado, CloudTrail, Fargate, costos, redes, GKE",Avanzado,Libro técnico
2,WebAssembly para procesamiento de alto rendimiento,"Workshop práctico: WebAssembly para procesamiento de alto rendimiento. Trabajaremos con Chart.js, Prettier y componentes en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Frontend. Se incluyen ejemplos usando SPA y Figma.",Frontend,"Chart.js, Prettier, componentes, responsive",Básico,GitHub
3,Almacenamiento de objetos con Amazon S3,"Documentación técnica sobre Almacenamiento de objetos con Amazon S3. Se detallan las configuraciones necesarias para multi-cloud y Azure DevOps, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. El contenido también cubre errores comunes al usar S3.",Cloud,"multi-cloud, Azure DevOps, migración",Avanzado,Webinar
4,Estrategias de rollback en despliegues productivos,"Deep dive sobre Estrategias de rollback en despliegues productivos. Analizamos arquitecturas modernas que combinan SRE y Azure. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en DevOps.",DevOps,"SRE, Azure, Linkerd",Avanzado,YouTube
5,Diseño responsive con Tailwind CSS,"Masterclass de Diseño responsive con Tailwind CSS. Se profundiza en Three.js, Prettier y Babel con casos de estudio de empresas reales. Incluye ejercicios de Frontend para consolidar el aprendizaje.",Frontend,"Three.js, Prettier, Babel, Angular, GSAP, ESLint",Avanzado,GitHub
6,Cumplimiento normativo GDPR en aplicaciones,"En este contenido se presentan los conceptos fundamentales de Cumplimiento normativo GDPR en aplicaciones. Se explica paso a paso cómo implementar soluciones prácticas utilizando IDS y SIEM, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Seguridad.",Seguridad,"IDS, SIEM, auditoría, blockchain, SAML",Avanzado,Conferencia
7,Seguridad en contenedores y Kubernetes,"Workshop práctico: Seguridad en contenedores y Kubernetes. Trabajaremos con Splunk, Zero Trust y SSO en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Seguridad. Finalmente, se revisan consideraciones de rendimiento con MFA.",Seguridad,"Splunk, Zero Trust, SSO, Metasploit",Avanzado,Webinar
8,Configuración de Vite para proyectos modernos,"Workshop práctico: Configuración de Vite para proyectos modernos. Trabajaremos con Jest, Ant Design y Framer Motion en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Frontend.",Frontend,"Jest, Ant Design, Framer Motion, hooks, GSAP, Bootstrap",Intermedio,Libro técnico
9,Animaciones y transiciones CSS avanzadas,Charla técnica: Animaciones y transiciones CSS avanzadas. Se discuten los desafíos de implementar Angular y Svelte en escenarios reales de Frontend. Lecciones aprendidas y errores a evitar. El contenido también cubre errores comunes al usar PWA.,Frontend,"Angular, Svelte, D3.js, Less, Chakra UI, Figma",Básico,YouTube
10,Migración de datos entre sistemas heterogéneos,"Documentación técnica sobre Migración de datos entre sistemas heterogéneos. Se detallan las configuraciones necesarias para views y TimescaleDB, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Se proporciona una comparativa entre ClickHouse y replicación.",Bases de Datos,"views, TimescaleDB, transacciones",Intermedio,Curso online
11,Implementación de GraphQL en APIs existentes,"Documentación técnica sobre Implementación de GraphQL en APIs existentes. Se detallan las configuraciones necesarias para PHP y Hibernate, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Incluye una sección de preguntas frecuentes sobre FastAPI.",Backend,"PHP, Hibernate, JUnit, Express",Avanzado,Wiki interna
12,Análisis estadístico con Statsmodels,"Documentación técnica sobre Análisis estadístico con Statsmodels. Se detallan las configuraciones necesarias para Pandas y MLflow, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Data Science,"Pandas, MLflow, Seaborn, BERT, Streamlit, Transformers",Básico,Tutorial
13,Infraestructura de claves públicas PKI,"Artículo técnico sobre Infraestructura de claves públicas PKI. Comparativa entre auditoría y IPS: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Seguridad. Finalmente, se revisan consideraciones de rendimiento con GDPR.",Seguridad,"auditoría, IPS, Nmap",Avanzado,GitHub
14,Server Side Rendering con Next.js,"Introducción práctica a Server Side Rendering con Next.js. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando TypeScript, Babel y Webpack. Perfecto para equipos que inician proyectos de Frontend. Se proporciona una comparativa entre SSR y componentes.",Frontend,"TypeScript, Babel, Webpack, Prettier",Intermedio,Curso online
15,Despliegue de aplicaciones en Google Cloud Run,"Serie de tutoriales: Despliegue de aplicaciones en Google Cloud Run. Parte 1: configuración inicial con Cloud Functions. Parte 2: integración con serverless. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Cloud. Finalmente, se revisan consideraciones de rendimiento con Cloud Functions.",Cloud,"Cloud Functions, serverless, costos",Básico,Webinar
16,Detección de intrusiones con IDS/IPS,Serie de tutoriales: Detección de intrusiones con IDS/IPS. Parte 1: configuración inicial con IDS. Parte 2: integración con Kali Linux. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Seguridad. Se incluyen ejemplos usando RBAC y Kali Linux.,Seguridad,"IDS, Kali Linux, ransomware",Básico,Curso online
17,Bases de datos de grafos con Neo4j,"Guía completa sobre Bases de datos de grafos con Neo4j. Aprenderás a trabajar con BASE, NoSQL y data warehouse desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Bases de Datos. Incluye una sección de preguntas frecuentes sobre views.",Bases de Datos,"BASE, NoSQL, data warehouse, Neo4j, Firestore",Intermedio,Libro técnico
18,Testing de APIs con Jest y Supertest,"Guía completa sobre Testing de APIs con Jest y Supertest. Aprenderás a trabajar con ASP.NET, gRPC y Hibernate desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Se proporciona una comparativa entre Hibernate y API REST.",Backend,"ASP.NET, gRPC, Hibernate, JUnit, XML",Avanzado,Webinar
19,Arquitecturas de alta disponibilidad en Azure,"En este contenido se presentan los conceptos fundamentales de Arquitecturas de alta disponibilidad en Azure. Se explica paso a paso cómo implementar soluciones prácticas utilizando EKS y GCP, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Cloud.",Cloud,"EKS, GCP, EventBridge, VPC",Básico,YouTube
20,Detección de intrusiones con IDS/IPS,"Análisis de caso: Detección de intrusiones con IDS/IPS. Revisamos cómo una empresa migró de Metasploit a CSRF en su plataforma de Seguridad. Métricas, resultados y recomendaciones. Finalmente, se revisan consideraciones de rendimiento con SSL.",Seguridad,"Metasploit, CSRF, PKI, IPS, SSL",Avanzado,Conferencia
21,Replicación y alta disponibilidad en MySQL,"Guía completa sobre Replicación y alta disponibilidad en MySQL. Aprenderás a trabajar con Oracle, triggers y data warehouse desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Bases de Datos. Finalmente, se revisan consideraciones de rendimiento con NoSQL.",Bases de Datos,"Oracle, triggers, data warehouse, normalización, NoSQL",Básico,Wiki interna
22,Tuning de rendimiento en Oracle y SQL Server,Charla técnica: Tuning de rendimiento en Oracle y SQL Server. Se discuten los desafíos de implementar MySQL y ETL en escenarios reales de Bases de Datos. Lecciones aprendidas y errores a evitar. Se proporciona una comparativa entre Oracle y SQL Server.,Bases de Datos,"MySQL, ETL, PL/SQL",Intermedio,YouTube
23,UI moderna con Jetpack Compose en Android,"Tutorial avanzado de UI moderna con Jetpack Compose en Android. Exploramos la integración de GetX con widgets para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",Mobile,"GetX, widgets, iOS, Core Data, SwiftUI",Intermedio,GitHub
24,Mensajería asíncrona con SQS y Pub/Sub,"Artículo técnico sobre Mensajería asíncrona con SQS y Pub/Sub. Comparativa entre SQS y Cloud SQL: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Cloud. Finalmente, se revisan consideraciones de rendimiento con almacenamiento.",Cloud,"SQS, Cloud SQL, autoescalado, EventBridge, redes",Intermedio,YouTube
