id,titulo,texto,categoria,palabras_clave,nivel_dificultad,fuente
1,Automatización de despliegues con Ansible,"Tutorial avanzado de Automatización de despliegues con Ansible. Exploramos la integración de Grafana con Nginx para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción.",DevOps,"Grafana, Nginx, GitHub Actions, Kubernetes",Avanzado,Blog técnico
2,Visualización de datos avanzada con Seaborn,"Documentación técnica sobre Visualización de datos avanzada con Seaborn. Se detallan las configuraciones necesarias para clustering y Python, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. El contenido también cubre errores comunes al usar Python.",Data Science,"clustering, Python, Seaborn, visualización",Avanzado,Wiki interna
3,Uso de Redis como capa de caché en aplicaciones web,"Guía completa sobre Uso de Redis como capa de caché en aplicaciones web. Aprenderás a trabajar con Django, Spring Boot y Java desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Se incluyen ejemplos usando JWT y Go.",Backend,"Django, Spring Boot, Java, FastAPI, microservicios",Intermedio,Curso online
4,Series temporales y forecasting,"Deep dive sobre Series temporales y forecasting. Analizamos arquitecturas modernas que combinan PyTorch y clustering. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Data Science.",Data Science,"PyTorch, clustering, machine learning, Matplotlib",Avanzado,Medium
5,Diseño responsive con Tailwind CSS,"Deep dive sobre Diseño responsive con Tailwind CSS. Analizamos arquitecturas modernas que combinan JavaScript y UI/UX. Se incluyen diagramas, flujos de trabajo y recomendaciones para escalar soluciones en Frontend.",Frontend,"JavaScript, UI/UX, SSR, TypeScript",Básico,Medium
6,Publicación de apps en App Store y Google Play,"Serie de tutoriales: Publicación de apps en App Store y Google Play. Parte 1: configuración inicial con Firebase. Parte 2: integración con App Store. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Mobile. Además, se discute la integración con Google Play.",Mobile,"Firebase, App Store, API móvil, Google Play",Básico,Blog técnico
7,Pruebas unitarias en aplicaciones Kotlin,"Introducción práctica a Pruebas unitarias en aplicaciones Kotlin. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando Google Play, BLoC y estado. Perfecto para equipos que inician proyectos de Mobile.",Mobile,"Google Play, BLoC, estado, React Native",Básico,Curso online
8,Patrones de diseño en aplicaciones backend,"Artículo técnico sobre Patrones de diseño en aplicaciones backend. Comparativa entre Go y Redis: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Backend. Finalmente, se revisan consideraciones de rendimiento con Django.",Backend,"Go, Redis, Python",Básico,Wiki interna
9,Orquestación de contenedores con Kubernetes,"Workshop práctico: Orquestación de contenedores con Kubernetes. Trabajaremos con pipelines, Linux y AWS en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en DevOps.",DevOps,"pipelines, Linux, AWS, infraestructura como código",Básico,Medium
10,Sharding horizontal en bases de datos distribuidas,"En este contenido se presentan los conceptos fundamentales de Sharding horizontal en bases de datos distribuidas. Se explica paso a paso cómo implementar soluciones prácticas utilizando indexación y procedimientos almacenados, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Bases de Datos.",Bases de Datos,"indexación, procedimientos almacenados, migración, SQL, normalización",Avanzado,Dev.to
11,Diseño responsive con Tailwind CSS,"Guía completa sobre Diseño responsive con Tailwind CSS. Aprenderás a trabajar con CSS, DOM y responsive desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Frontend.",Frontend,"CSS, DOM, responsive, HTML5",Avanzado,Documentación oficial
12,Desarrollo de apps multiplataforma con Flutter,"Workshop práctico: Desarrollo de apps multiplataforma con Flutter. Trabajaremos con BLoC, Kotlin y Swift en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en Mobile.",Mobile,"BLoC, Kotlin, Swift, cámara",Avanzado,Medium
13,Manejo de transacciones y concurrencia en bases de datos,"En este contenido se presentan los conceptos fundamentales de Manejo de transacciones y concurrencia en bases de datos. Se explica paso a paso cómo implementar soluciones prácticas utilizando Kubernetes y GraphQL, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Backend.",Backend,"Kubernetes, GraphQL, MySQL",Intermedio,Dev.to
14,Orquestación de contenedores con Kubernetes,"Documentación técnica sobre Orquestación de contenedores con Kubernetes. Se detallan las configuraciones necesarias para Prometheus y logs, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo. Se incluyen ejemplos usando Kubernetes y AWS.",DevOps,"Prometheus, logs, bash, pipelines, Grafana",Avanzado,Wiki interna
15,Despliegue de aplicaciones en Google Cloud Run,"Introducción práctica a Despliegue de aplicaciones en Google Cloud Run. Este material cubre desde los conceptos básicos hasta técnicas avanzadas usando almacenamiento, serverless y cloud native. Perfecto para equipos que inician proyectos de Cloud. Además, se discute la integración con autoescalado.",Cloud,"almacenamiento, serverless, cloud native, GCP, Lambda",Intermedio,Wiki interna
16,Arquitectura Zero Trust para empresas,"En este contenido se presentan los conceptos fundamentales de Arquitectura Zero Trust para empresas. Se explica paso a paso cómo implementar soluciones prácticas utilizando hashing y auditoría, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en Seguridad.",Seguridad,"hashing, auditoría, vulnerabilidades, criptografía, pentesting",Intermedio,Documentación oficial
17,Migración de datos entre sistemas heterogéneos,"Serie de tutoriales: Migración de datos entre sistemas heterogéneos. Parte 1: configuración inicial con Cassandra. Parte 2: integración con ACID. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Bases de Datos. Además, se discute la integración con NoSQL.",Bases de Datos,"Cassandra, ACID, replicación, sharding",Intermedio,Tutorial
18,Gestión de sesiones y autenticación JWT en Node.js,"Tutorial avanzado de Gestión de sesiones y autenticación JWT en Node.js. Exploramos la integración de Go con FastAPI para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Además, se discute la integración con ORM.",Backend,"Go, FastAPI, Docker",Básico,Blog técnico
19,Despliegue de aplicaciones en Google Cloud Run,"Artículo técnico sobre Despliegue de aplicaciones en Google Cloud Run. Comparativa entre serverless y S3: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Cloud. Finalmente, se revisan consideraciones de rendimiento con IAM.",Cloud,"serverless, S3, EC2, Lambda",Intermedio,Dev.to
20,Auditoría de seguridad en aplicaciones web,"Documentación técnica sobre Auditoría de seguridad en aplicaciones web. Se detallan las configuraciones necesarias para GDPR y OWASP, incluyendo troubleshooting de errores frecuentes y estrategias de monitoreo.",Seguridad,"GDPR, OWASP, VPN, certificados, encriptación",Avanzado,Curso online
21,Integración de Firebase en aplicaciones Android,Serie de tutoriales: Integración de Firebase en aplicaciones Android. Parte 1: configuración inicial con Swift. Parte 2: integración con iOS. Parte 3: despliegue y monitoreo en producción. Enfoque práctico para Mobile.,Mobile,"Swift, iOS, Flutter, API móvil, estado",Básico,Blog técnico
22,Redes neuronales con TensorFlow y Keras,"Artículo técnico sobre Redes neuronales con TensorFlow y Keras. Comparativa entre regresión y modelos: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Data Science.",Data Science,"regresión, modelos, visualización",Básico,Blog técnico
23,Configuración de balanceadores de carga con Nginx,"En este contenido se presentan los conceptos fundamentales de Configuración de balanceadores de carga con Nginx. Se explica paso a paso cómo implementar soluciones prácticas utilizando Kubernetes y Azure, con ejemplos de código y casos de uso reales. Ideal para profesionales que buscan fortalecer sus habilidades en DevOps.",DevOps,"Kubernetes, Azure, Terraform, Nginx, pipelines",Intermedio,Dev.to
24,Publicación de apps en App Store y Google Play,"Curso intensivo de Publicación de apps en App Store y Google Play. Domina BLoC, GPS y API móvil a través de proyectos prácticos. Al finalizar, serás capaz de diseñar e implementar soluciones profesionales en el área de Mobile.",Mobile,"BLoC, GPS, API móvil",Básico,Dev.to
25,Orquestación de contenedores con Kubernetes,"Workshop práctico: Orquestación de contenedores con Kubernetes. Trabajaremos con Kubernetes, despliegue y logs en un proyecto real. Se enfoca en la resolución de problemas comunes y la aplicación de patrones de diseño en DevOps. El contenido también cubre errores comunes al usar Terraform.",DevOps,"Kubernetes, despliegue, logs, Grafana",Intermedio,Curso online
26,Implementación de GraphQL en APIs existentes,"Guía completa sobre Implementación de GraphQL en APIs existentes. Aprenderás a trabajar con Java, FastAPI y Spring Boot desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Backend. Se incluyen ejemplos usando ORM y Express.",Backend,"Java, FastAPI, Spring Boot",Intermedio,Wiki interna
27,Construcción de interfaces con React y TypeScript,"Guía completa sobre Construcción de interfaces con React y TypeScript. Aprenderás a trabajar con Angular, Vue.js y hooks desde cero. Incluye ejercicios prácticos, mejores prácticas de la industria y consejos para evitar errores comunes en proyectos de Frontend. El contenido también cubre errores comunes al usar TypeScript.",Frontend,"Angular, Vue.js, hooks",Básico,Dev.to
28,Uso de Redis como base de datos en memoria,"Tutorial avanzado de Uso de Redis como base de datos en memoria. Exploramos la integración de PostgreSQL con transacciones para construir soluciones robustas. Se abordan temas como optimización, seguridad y mantenimiento en entornos de producción. Además, se discute la integración con consultas.",Bases de Datos,"PostgreSQL, transacciones, SQL, sharding",Básico,Tutorial
29,Gestión de identidades y accesos con IAM,"Artículo técnico sobre Gestión de identidades y accesos con IAM. Comparativa entre IAM y serverless: ventajas, desventajas y casos de uso. Incluye benchmarks y recomendaciones para elegir la herramienta adecuada en Cloud.",Cloud,"IAM, serverless, almacenamiento",Básico,Curso online
